Range;class;model;precision;recall;f1_score;roc_auc;accuracy;номер комбинации;RSI__h_bound;RSI__period;SMA__ma_long;SMA__ma_longest;SMA__ma_short;EMA__ema_long;EMA__ema_longest;EMA__ema_short;RSIEMA__h_bound;RSIEMA__period;ROC__roc_high;ROC__roc_low;MOM__mom_high;MOM__mom_low;STOCH__stoch_d;STOCH__stoch_k;STOCH__stoch_period;SHIFT1__num_shifts;SHIFT2__num_shifts;CORRELATION_REMOVER__threshold;DEPENDENCIES_REMOVER__correlation_threshold;DATAPREPROCESSOR__apply_balancing;DATAPREPROCESSOR__apply_scaling;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
0,05;1;RandomForestClassifier;0.6412190706095353;0.8921074727120067;0.7461376404494382;0.5306862678156479;0.6121764784765992;144;70;13;21;200;5;21;200;5;80;21;21;5;21;14;5;5;3;5;1;0.01;0.5;FALSE;FALSE;200;5;4;sqrt;10
0,05;0;RandomForestClassifier;0.40099833610648916;0.17898254734496843;0.24749679075738126;0.48006524362848857;0.6069464932278397;145;70;13;21;200;8;34;200;5;80;13;14;5;14;14;3;5;5;8;3;0.03;0.5;FALSE;FALSE;200;5;2;sqrt;10
0,05;1;RandomForestClassifier;0.6465227817745803;0.8488664987405542;0.7340049006261912;0.5199347563715114;0.6069464932278397;145;70;13;21;200;8;34;200;5;80;13;14;5;14;14;3;5;5;8;3;0.03;0.5;FALSE;FALSE;200;5;2;sqrt;10
0,05;0;RandomForestClassifier;0.3825136612021858;0.025993316004455997;0.048678720445062586;0.4323887723341574;0.6330964194716374;146;70;21;21;200;13;21;200;5;80;13;21;5;14;14;5;8;3;8;3;0.01;0.8;FALSE;TRUE;100;5;4;log2;10
0,05;1;RandomForestClassifier;0.6394006048941435;0.9762804366078925;0.7727197208838678;0.5676112276658426;0.6330964194716374;146;70;21;21;200;13;21;200;5;80;13;21;5;14;14;5;8;3;8;3;0.01;0.8;FALSE;TRUE;100;5;4;log2;10
0,05;0;RandomForestClassifier;0.3884007029876977;0.16412922391385074;0.23074915165753068;0.48200266075277415;0.6048008582539895;147;70;21;34;200;13;34;134;13;80;13;21;9;14;14;3;5;5;13;3;0.01;0.5;FALSE;TRUE;300;5;4;log2;10
0,05;1;RandomForestClassifier;0.6437727488526666;0.853904282115869;0.7340972660831905;0.5179973392472259;0.6048008582539895;147;70;21;34;200;13;34;134;13;80;13;21;9;14;14;3;5;5;13;3;0.01;0.5;FALSE;TRUE;300;5;4;log2;10
0,05;0;RandomForestClassifier;0.4079601990049751;0.030449313033791312;0.056668970283344854;0.43709224680835934;0.6339010325868312;148;70;21;21;200;5;34;200;5;70;13;14;9;14;5;5;13;5;3;1;0.01;0.8;FALSE;FALSE;200;5;2;log2;10
0,05;1;RandomForestClassifier;0.6401598676957001;0.9750209907640638;0.7728785357737105;0.5629077531916405;0.6339010325868312;148;70;21;21;200;5;34;200;5;70;13;14;9;14;5;5;13;5;3;1;0.01;0.8;FALSE;FALSE;200;5;2;log2;10
0,05;0;RandomForestClassifier;0.3725321888412017;0.32231711845525435;0.3456101931116862;0.4632798813230682;0.5592061150596754;149;70;21;21;200;5;21;134;5;80;13;14;5;21;14;5;13;5;8;1;0.03;0.3;FALSE;FALSE;100;5;1;sqrt;10
0,05;1;RandomForestClassifier;0.6440413497171835;0.6931150293870697;0.6676776867859671;0.5367201186769318;0.5592061150596754;149;70;21;21;200;5;21;134;5;80;13;14;5;21;14;5;13;5;8;1;0.03;0.3;FALSE;FALSE;100;5;1;sqrt;10
0,05;0;RandomForestClassifier;0.36625811103100214;0.18863720757519495;0.24901960784313726;0.4872715140132252;0.5891109025077109;150;70;13;34;200;8;21;134;5;70;13;14;9;21;5;5;13;3;3;1;0.03;0.5;FALSE;FALSE;100;2;2;sqrt;10
0,05;1;RandomForestClassifier;0.6400329489291599;0.8154911838790933;0.7171866346686357;0.5127284859867748;0.5891109025077109;150;70;13;34;200;8;21;134;5;70;13;14;9;21;5;5;13;3;3;1;0.03;0.5;FALSE;FALSE;100;2;2;sqrt;10
0,05;0;RandomForestClassifier;0.391008174386921;0.2131451912365392;0.27589521749579426;0.47768719973386237;0.5959501139868579;151;70;21;21;200;13;21;200;5;70;21;21;9;21;5;5;13;3;13;3;0.03;0.5;FALSE;TRUE;300;10;1;sqrt;10
0,05;1;RandomForestClassifier;0.6461846718984805;0.8123425692695214;0.7197991258253511;0.5223128002661376;0.5959501139868579;151;70;21;21;200;13;21;200;5;70;21;21;9;21;5;5;13;3;13;3;0.03;0.5;FALSE;TRUE;300;10;1;sqrt;10
0,05;0;RandomForestClassifier;0.373015873015873;0.017452655031563312;0.03334515785739624;0.45497788993637456;0.6345715435161593;152;70;21;34;200;5;34;134;5;80;13;14;5;21;14;3;8;3;3;1;0.03;0.8;FALSE;TRUE;100;2;4;log2;10
